"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","341","用户登录测试","test-engine.tests","Tue Apr 21 04:46:35 UTC 2026","passed","Tue Apr 21 04:46:35 UTC 2026","","test_runner","",""
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","380","获取用户信息（使用提取的变量）","test-engine.tests","Tue Apr 21 04:46:35 UTC 2026","passed","Tue Apr 21 04:46:35 UTC 2026","","test_runner","",""
