"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","1494","用户登录测试","test-engine.tests","Thu May 07 05:29:04 UTC 2026","passed","Thu May 07 05:29:06 UTC 2026","","test_runner","",""
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","404","获取用户信息（使用提取的变量）","test-engine.tests","Thu May 07 05:29:06 UTC 2026","passed","Thu May 07 05:29:06 UTC 2026","","test_runner","",""
