"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","167","获取用户信息（使用提取的变量）","test-engine.tests","Wed May 06 05:26:46 UTC 2026","passed","Wed May 06 05:26:46 UTC 2026","","test_runner","",""
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","408","用户登录测试","test-engine.tests","Wed May 06 05:26:46 UTC 2026","passed","Wed May 06 05:26:46 UTC 2026","","test_runner","",""
