"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","100","用户登录测试","test-engine.tests","2026-08-21","passed","2026-08-21","","test_runner","",""
"Source file: /home/runner/work/test_system/test_system/test-engine/data/login.yaml","23","获取用户信息（使用提取的变量）","test-engine.tests","2026-08-21","passed","2026-08-21","","test_runner","",""
